id,cost
1,16.0782775455
2,16.0105300119
3,15.8072874113
4,15.4685497437
5,14.4523367407
6,12.7586484024
7,9.37127172577
8,0.0
9,16.0782775455
10,16.0105300119
11,15.8072874113
12,15.4685497437
13,14.4523367407
14,12.7586484024
15,9.37127172577
16,0.0
17,16.0782775455
18,16.0105300119
19,15.8072874113
20,15.4685497437
21,14.4523367407
22,12.7586484024
23,9.37127172577
24,0.0
25,16.0782775455
26,16.0105300119
27,15.8072874113
28,15.4685497437
29,14.4523367407
30,12.7586484024
31,9.37127172577
32,0.0
33,16.0782775455
34,16.0105300119
35,15.8072874113
36,15.4685497437
37,14.4523367407
38,12.7586484024
39,9.37127172577
40,0.0
41,14.9968945646
42,15.9151380718
43,16.0299921841
44,16.0782775455
45,16.0105300119
46,15.8072874113
47,15.4685497437
48,14.4523367407
49,12.7586484024
50,9.37127172577
51,0.0
52,16.0782775455
53,15.9427824784
54,15.8072874113
55,14.9634543204
56,16.0305815754
57,15.7943900465
58,15.7860043939
59,15.6505093268
60,15.3117716591
61,14.9730339915
62,14.2955586562
63,16.0782775455
64,16.0105300119
65,15.8072874113
66,15.4685497437
67,14.4523367407
68,12.7586484024
69,9.37127172577
70,0.0
71,15.80669802
72,15.4679603524
73,15.1292226847
74,14.7904850171
75,16.0299921841
76,16.0782775455
77,16.0105300119
78,15.8072874113
79,15.4685497437
80,14.4523367407
81,12.7586484024
82,9.37127172577
83,0.0
84,16.0240982711
85,15.938067348
86,15.7348247474
87,15.5315821468
88,15.3283395462
89,16.0782775455
90,16.0105300119
91,15.8072874113
92,15.4685497437
93,14.4523367407
94,12.7586484024
95,9.37127172577
96,0.0
97,15.8838231429
98,16.0782775455
99,16.0105300119
100,15.8072874113
101,15.4685497437
102,14.4523367407
103,12.7586484024
104,9.37127172577
105,0.0
106,16.0782775455
107,16.0105300119
108,15.8072874113
109,15.4685497437
110,14.4523367407
111,12.7586484024
112,9.37127172577
113,0.0
114,15.9427622724
115,16.0017014019
116,16.0776881542
117,16.0099406206
118,15.9421930871
119,15.8744455536
120,16.0782775455
121,16.0105300119
122,15.9427824784
123,15.8072874113
124,16.0776881542
125,16.0099406206
126,15.80669802
127,15.4679603524
128,14.4517473494
129,12.7580590111
130,9.37068233448
131,16.0282240102
132,15.9386567393
133,15.8031616723
134,15.6676666052
135,15.5321715381
136,15.2944318476
137,15.4514573961
138,15.1127197284
139,14.7739820608
140,14.4352443931
141,15.9663379242
142,16.0782775455
143,16.0105300119
144,15.8072874113
145,15.4685497437
146,14.4523367407
147,12.7586484024
148,9.37127172577
149,0.0
150,16.0282240102
151,16.0776881542
152,16.0099406206
153,15.80669802
154,15.4679603524
155,14.4517473494
156,12.7580590111
157,9.37068233448
158,0.0
159,16.0782775455
160,16.0105300119
161,15.9427824784
162,15.8750349449
163,15.8072874113
164,15.4685497437
165,14.4523367407
166,12.7586484024
167,16.0776881542
168,16.0099406206
169,15.80669802
170,15.4679603524
171,14.4517473494
172,12.7580590111
173,9.37068233448
174,0.0
175,15.8037510636
176,15.4650133959
177,14.4488003929
178,16.0282240102
179,15.9722318372
180,15.774196362
181,16.0776881542
182,15.9421930871
183,15.80669802
184,15.4679603524
185,16.0782775455
186,16.0105300119
187,15.8072874113
188,15.4685497437
189,14.4523367407
190,12.7586484024
191,9.37127172577
192,0.0
193,14.1062189964
194,14.7846083772
195,16.0782775455
196,16.0105300119
197,15.8072874113
198,15.4685497437
199,14.4523367407
200,12.7586484024
201,9.37127172577
202,0.0
203,16.0782775455
204,16.0105300119
205,15.8072874113
206,15.4685497437
207,14.4523367407
208,12.7586484024
209,9.37127172577
210,0.0
211,16.0782775455
212,16.0105300119
213,15.8072874113
214,15.4685497437
215,14.4523367407
216,12.7586484024
217,9.37127172577
218,0.0
219,16.0782775455
220,16.0105300119
221,15.8072874113
222,15.4685497437
223,14.4523367407
224,12.7586484024
225,9.37127172577
226,0.0
227,16.0782775455
228,16.0105300119
229,15.8072874113
230,15.4685497437
231,14.4523367407
232,12.7586484024
233,9.37127172577
234,0.0
235,16.0782775455
236,16.0105300119
237,15.8072874113
238,15.4685497437
239,14.4523367407
240,12.7586484024
241,9.37127172577
242,0.0
243,15.8720879884
244,15.7365929213
245,15.6010978543
246,15.4656027872
247,16.0782775455
248,16.0105300119
249,15.8072874113
250,15.4685497437
251,14.4523367407
252,12.7586484024
253,9.37127172577
254,0.0
255,16.0017014019
256,16.0782775455
257,16.0105300119
258,15.8072874113
259,15.4685497437
260,14.4523367407
261,12.7586484024
262,9.37127172577
263,0.0
264,15.8242946221
265,16.0782775455
266,16.0105300119
267,15.8072874113
268,15.4685497437
269,14.4523367407
270,12.7586484024
271,9.37127172577
272,0.0
273,15.9292062726
274,14.9574053478
275,16.0782775455
276,16.0105300119
277,15.8072874113
278,15.4685497437
279,14.4523367407
280,12.7586484024
281,9.37127172577
282,0.0
283,15.9869666195
284,15.5630074105
285,16.0081724467
286,15.8726773797
287,15.7371823126
288,15.6016872456
289,16.0782775455
290,16.0105300119
291,15.8072874113
292,15.4685497437
293,14.4523367407
294,12.7586484024
295,9.37127172577
296,0.0
297,16.0782775455
298,16.0105300119
299,15.8072874113
300,15.4685497437
301,14.4523367407
302,12.7586484024
303,9.37127172577
304,0.0
305,8.83866808594
306,16.0282240102
307,16.0782775455
